,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Cannon,Brobnar,COTA,U,Artifact,2,,,1,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Mighty Javelin,Brobnar,COTA,U,Artifact,3,1,,1,,,,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Screechbomb,Brobnar,COTA,U,Artifact,3,,1,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Warchest,Brobnar,COTA,U,Artifact,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Earthshaker,Brobnar,COTA,U,Creature,4,,,1,,,1,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Grenade Snib,Brobnar,COTA,U,Creature,3,,1,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Hebe the Huge,Brobnar,COTA,U,Creature,3,,,1,,,1,,,,,1.5,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Lomir Flamefist,Brobnar,COTA,U,Creature,3,,1,,,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Blood of Titans,Brobnar,COTA,U,Upgrade,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Barehanded,Brobnar,COTA,R,Action,3,1,,,,1,,,,,,0.75,,-1,-3,-3,-3,,5,2.5,5,1.7,5,1.25,5,1
Brothers in Battle,Brobnar,COTA,R,Action,2,1,,1,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Champion's Challenge,Brobnar,COTA,R,Action,5,,,1,,,,,1,,,1.25,,-1,-4,-4,-4,,9,4.5,10,3.3,11,2.75,12,2.4
Lava Ball,Brobnar,COTA,R,Action,3,,,1,,,,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
"Take that, Smartypants",Brobnar,COTA,R,Action,2,1,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Autocannon,Brobnar,COTA,R,Artifact,2,,,1,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Banner of Battle,Brobnar,COTA,R,Artifact,4,,,,,,1,,,,,1,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
Iron Obelisk,Brobnar,COTA,R,Artifact,3,,1,,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Pile of Skulls,Brobnar,COTA,R,Artifact,2,,1,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Bilgum Avalanche,Brobnar,COTA,R,Creature,2,,,1,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Kelifi Dragon,Brobnar,COTA,R,Creature,0,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0
King of the Crag,Brobnar,COTA,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Looter Goblin,Brobnar,COTA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Mugwump,Brobnar,COTA,R,Creature,4,,,,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Pingle Who Annoys,Brobnar,COTA,R,Creature,2,,,1,,,,,,,,0.5,,1,2,2,2,,5,2.5,9,3.0,13,3.25,17,3.4
Rock-Hurling Giant,Brobnar,COTA,R,Creature,5,,,1,,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Rogue Ogre,Brobnar,COTA,R,Creature,3,,1,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Tireless Crocag,Brobnar,COTA,R,Creature,2,,,1,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Phoenix Heart,Brobnar,COTA,R,Upgrade,3,,,1,,,,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Yo Mama Mastery,Brobnar,COTA,R,Upgrade,2,1,,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
,Dis,COTA,,,,22,7,17,2,6,12,0,2,1,0,91.25,,,,,,,,,,,,,,
Arise!,Dis,COTA,C,Action,4,,,,1,,,,,,,4,,-1,-3,-4,-6,,7,3.5,8,2.7,8,2,6,1.2
Control the Weak,Dis,COTA,C,Action,6,1,,,,1,,,,,,6,,0,1,2,2,,12,6,19,6.3,27,6.75,35,7
Fear,Dis,COTA,C,Action,1,,,,,,,,,,,1,,0,0,-1,-2,,2,1,3,1.0,3,0.75,2,0.4
Gateway to Dis,Dis,COTA,C,Action,5,,,1,,,,,1,,,5,,-1,-3,-5,-7,,9,4.5,11,3.7,11,2.75,9,1.8
Hand of Dis,Dis,COTA,C,Action,2,,,1,,,,,,,,2,,-1,-1,-2,-3,,3,1.5,4,1.3,4,1,3,0.6
Mind Barb,Dis,COTA,C,Action,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dominator Bauble,Dis,COTA,C,Artifact,3,1,,,,,,,,,,3,,-1,-2,-3,-4,,5,2.5,6,2.0,6,1.5,5,1
Lash of Broken Dreams,Dis,COTA,C,Artifact,3,,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Charette,Dis,COTA,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Dust Imp,Dis,COTA,C,Creature,4,1,,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Ember Imp,Dis,COTA,C,Creature,3,,,,,1,,,,,,3,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Pit Demon,Dis,COTA,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Shooler,Dis,COTA,C,Creature,4,1,1,,,,1,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Succubus,Dis,COTA,C,Creature,3,,,,,1,,,,,,3,,0,1,1,1,,6,3,10,3.3,14,3.5,18,3.6
The Terror,Dis,COTA,C,Creature,3,,,,,,1,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Tocsin,Dis,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Gongoozle,Dis,COTA,U,Action,3,1,,1,,,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Tendrils of Pain,Dis,COTA,U,Action,3,1,,1,,,,,,,,1.5,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Hysteria,Dis,COTA,U,Action,5,,,,,1,,,,,,2.5,,0,-2,-3,-3,,10,5,13,4.3,15,3.75,17,3.4
Key Hammer,Dis,COTA,U,Action,1,1,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Pandemonium,Dis,COTA,U,Action,2,1,1,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Poltergeist,Dis,COTA,U,Action,5,1,,,,,,,,1,,2.5,,0,-1,-3,-3,,10,5,14,4.7,16,4,18,3.6
Three Fates,Dis,COTA,U,Action,4,1,,1,,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Library of the Damned,Dis,COTA,U,Artifact,4,,,,1,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Lifeward,Dis,COTA,U,Artifact,4,1,,,,1,,,,,,2,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
Drumble,Dis,COTA,U,Creature,3,,1,,,,,,,,,1.5,,1,0,-1,-1,,7,3.5,10,3.3,12,3,14,2.8
Guardian Demon,Dis,COTA,U,Creature,3,,,1,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Shaffles,Dis,COTA,U,Creature,4,,1,,,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Snudge,Dis,COTA,U,Creature,4,,,1,,,1,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Stealer of Souls,Dis,COTA,U,Creature,3,,,1,,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Tentacus,Dis,COTA,U,Creature,3,,,,,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Flame-Wreathed,Dis,COTA,U,Upgrade,3,1,,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
A Fair Game,Dis,COTA,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Creeping Oblivion,Dis,COTA,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dance of Doom,Dis,COTA,R,Action,5,,,1,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Guilty Hearts,Dis,COTA,R,Action,2,1,,1,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Hecatomb,Dis,COTA,R,Action,3,1,,1,,,,,,,,0.75,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Red-Hot Armor,Dis,COTA,R,Action,1,1,,1,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Annihilation Ritual,Dis,COTA,R,Artifact,4,1,,,,,,,,,,1,,-2,-2,-2,-2,,6,3,8,2.7,10,2.5,12,2.4
Key to Dis,Dis,COTA,R,Artifact,5,,,1,,,,,1,,,1.25,,-1,-3,-3,-3,,9,4.5,11,3.7,13,3.25,15,3
Sacrificial Altar,Dis,COTA,R,Artifact,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Screaming Cave,Dis,COTA,R,Artifact,3,,,,,,,,,,,0.75,,-2,-3,-3,-3,,4,2,4,1.3,4,1,4,0.8
Soul Snatcher,Dis,COTA,R,Artifact,2,1,,,,,,,,,,0.5,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Eater of the Dead,Dis,COTA,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Gabos Longarms,Dis,COTA,R,Creature,2,,,1,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Overlord Greking,Dis,COTA,R,Creature,3,,,1,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Master of X,Dis,COTA,R,Creature,2,,,1,,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Pitlord,Dis,COTA,R,Creature,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Restringuntus,Dis,COTA,R,Creature,4,,,,,1,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Tolas,Dis,COTA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Truebaru,Dis,COTA,R,Creature,2,,,,,,1,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Collar of Subordination,Dis,COTA,R,Upgrade,6,,,1,,,,,,,,1.5,,0,0,0,0,,12,6,18,6.0,24,6,30,6
,Logos,COTA,,,,20,4,8,18,3,7,2,0,1,0,84.5,,,,,,,,,,,,,,
Effervescent Principle,Logos,COTA,C,Action,4,,1,,,,,1,,,,4,,0,-2,-3,-4,,8,4,10,3.3,11,2.75,11,2.2
Foggify,Logos,COTA,C,Action,2,1,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Labwork,Logos,COTA,C,Action,4,1,,,1,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Library Access,Logos,COTA,C,Action,6,,,,1,,,,,,,6,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Phase Shift,Logos,COTA,C,Action,5,,,,1,,,,,,,5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Twin Bolt Emission,Logos,COTA,C,Action,3,1,,1,,,,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Wild Wormhole,Logos,COTA,C,Action,3,1,,,1,,,,,,,3,,0,1,2,2,,6,3,10,3.3,15,3.75,20,4
Library of Babble,Logos,COTA,C,Artifact,1,,,,1,,,,,,,1,,0,1,-2,-2,,2,1,4,1.3,3,0.75,2,0.4
Batdrone,Logos,COTA,C,Creature,2,,1,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Dextre,Logos,COTA,C,Creature,1,,1,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Doc Bookton,Logos,COTA,C,Creature,3,,,,1,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Dr. Escotera,Logos,COTA,C,Creature,2,1,,,,,1,,,,,2,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Ganymede Archivist,Logos,COTA,C,Creature,2,,,,1,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Quixo the “Adventurer”,Logos,COTA,C,Creature,2,,,,1,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Mother,Logos,COTA,C,Creature,5,,,,1,,1,,,,,5,,1,2,2,2,,11,5.5,18,6.0,25,6.25,32,6.4
Titan Mechanic,Logos,COTA,C,Creature,3,,,,,,1,,,,,3,,0,0,-1,-2,,6,3,9,3.0,11,2.75,12,2.4
Bouncing Deathquark,Logos,COTA,U,Action,4,,,1,,,,,,,,2,,0,-1,-3,-3,,8,4,11,3.7,12,3,13,2.6
Dimension Door,Logos,COTA,U,Action,2,,1,,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Interdimensional Graft,Logos,COTA,U,Action,5,1,,,,,,1,,,,2.5,,0,-1,-2,-2,,10,5,14,4.7,17,4.25,20,4
Neuro Syphon,Logos,COTA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Positron Bolt,Logos,COTA,U,Action,3,1,,1,,,,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Remote Access,Logos,COTA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Scrambler Storm,Logos,COTA,U,Action,6,1,,,,1,,,,,,3,,1,2,2,2,,13,6.5,21,7.0,29,7.25,37,7.4
Sloppy Labwork,Logos,COTA,U,Action,5,1,,,1,,,,,,,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Anomaly Exploiter,Logos,COTA,U,Artifact,2,,,1,,,,,,,,1,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Spectral Tunneler,Logos,COTA,U,Artifact,2,1,,,1,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Brain Eater,Logos,COTA,U,Creature,3,,,,1,,1,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Novu Archaeologist,Logos,COTA,U,Creature,3,,,,1,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Research Smoko,Logos,COTA,U,Creature,2,,,,,,,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Veylan Analyst,Logos,COTA,U,Creature,2,,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Experimental Therapy,Logos,COTA,U,Upgrade,2,,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Rocket Boots,Logos,COTA,U,Upgrade,2,,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Knowledge is Power,Logos,COTA,R,Action,3,,,,1,,,,,,,0.75,,1,2,3,3,,7,3.5,12,4.0,18,4.5,24,4.8
Random Access Archives,Logos,COTA,R,Action,3,1,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Reverse Time,Logos,COTA,R,Action,3,1,,,,,,,,,,0.75,,1,-2,-2,-2,,7,3.5,8,2.7,9,2.25,10,2
Chaos Portal,Logos,COTA,R,Artifact,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Crazy Killing Machine,Logos,COTA,R,Artifact,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Mobius Scroll,Logos,COTA,R,Artifact,2,,,,1,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Pocket Universe,Logos,COTA,R,Artifact,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Spangler Box,Logos,COTA,R,Artifact,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Strange Gizmo,Logos,COTA,R,Artifact,3,1,,,,,,,,,,0.75,,-2,-3,-3,-3,,4,2,4,1.3,4,1,4,0.8
The Howling Pit,Logos,COTA,R,Artifact,3,1,,,1,,,,,,,0.75,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Dysania,Logos,COTA,R,Creature,5,1,,,,1,1,,,,,1.25,,0,-3,-3,-3,,10,5,12,4.0,14,3.5,16,3.2
Harland Mindlock,Logos,COTA,R,Creature,1,,,1,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Neutron Shark,Logos,COTA,R,Creature,5,,,1,,,,,,1,,1.25,,0,-2,-2,-2,,10,5,13,4.3,16,4,19,3.8
"Ozmo, Martianologist",Logos,COTA,R,Creature,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Psychic Bug,Logos,COTA,R,Creature,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Replicator,Logos,COTA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Skippy Timehog,Logos,COTA,R,Creature,4,,,,,1,,,,,,1,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
TT+HFFS,Logos,COTA,R,Creature,6,1,,,1,,,,,,,1.5,,2,2,2,2,,14,7,22,7.3,30,7.5,38,7.6
Vespilon Theorist,Logos,COTA,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Transposition Sandals,Logos,COTA,R,Upgrade,2,1,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
,Mars,COTA,,,,24,7,12,5,0,7,1,0,1,1,73.25,,,,,,,,,,,,,,
Ammonia Clouds,Mars,COTA,C,Action,2,,,1,,,,,,,,2,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Phosphorus Stars,Mars,COTA,C,Action,1,,,,,,,,,,,1,,0,-1,-2,-3,,2,1,2,0.7,1,0.25,-1,-0.2
Soft Landing,Mars,COTA,C,Action,2,1,,,,,,,,,,2,,0,-2,-2,-2,,4,2,4,1.3,4,1,4,0.8
Squawker,Mars,COTA,C,Action,4,1,,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Mothergun,Mars,COTA,C,Artifact,2,,,1,,,,,,,,2,,0,-2,-2,-2,,4,2,4,1.3,4,1,4,0.8
Grabber Jammer,Mars,COTA,C,Creature,4,,1,,,,1,,,,,4,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
"""John Smyth""",Mars,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,-1,-2,,4,2,6,2.0,7,1.75,7,1.4
Mindwarper,Mars,COTA,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Tunk,Mars,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Ulyq Megamouth,Mars,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Vezyma Thinkdrone,Mars,COTA,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Yxili Marauder,Mars,COTA,C,Creature,1,,,,,,,,,,,1,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Yxilo Bolter,Mars,COTA,C,Creature,2,,,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Yxilx Dominator,Mars,COTA,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Zyzzix the Many,Mars,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Biomatrix Backup,Mars,COTA,C,Upgrade,2,1,,,,,,,,,,2,,0,-1,-2,-4,,4,2,5,1.7,5,1.25,3,0.6
Battle Fleet,Mars,COTA,U,Action,6,1,,,1,,,,,,,3,,2,3,4,4,,14,7,23,7.7,33,8.25,43,8.6
Deep Probe,Mars,COTA,U,Action,3,1,,1,,,,,,,,1.5,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
EMP Blast,Mars,COTA,U,Action,5,1,,,,,,,,1,,2.5,,-1,-2,-3,-3,,9,4.5,12,4.0,14,3.5,16,3.2
Key Abduction,Mars,COTA,U,Action,3,1,,,,,,,,,1,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Mothership Support,Mars,COTA,U,Action,2,1,,1,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Orbital Bombardment,Mars,COTA,U,Action,4,1,,1,,,,,,,,2,,0,-1,-2,-2,,8,4,11,3.7,13,3.25,15,3
Psychic Network,Mars,COTA,U,Action,3,1,1,,,,,,,,,1.5,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Sample Collection,Mars,COTA,U,Action,2,,,1,,,,,,,,1,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Combat Pheromones,Mars,COTA,U,Artifact,3,1,,,,,,,,,,1.5,,-1,-1,-2,-2,,5,2.5,7,2.3,8,2,9,1.8
Crystal Hive,Mars,COTA,U,Artifact,3,1,,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Blypyp,Mars,COTA,U,Creature,1,,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Ether Spider,Mars,COTA,U,Creature,4,,,,,,1,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Uxlyx the Zookeeper,Mars,COTA,U,Creature,3,,,1,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Zorg,Mars,COTA,U,Creature,1,,,,,,1,,,,,0.5,,-1,-1,-1,-1,,1,0.5,1,0.3,1,0.25,1,0.2
Jammer Pack,Mars,COTA,U,Upgrade,3,1,1,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Red Planet Ray Gun,Mars,COTA,U,Upgrade,2,1,,1,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Hypnotic Command,Mars,COTA,R,Action,6,1,1,,,,,,,,,1.5,,0,-2,-2,-2,,12,6,16,5.3,20,5,24,4.8
Irradiated AEmber,Mars,COTA,R,Action,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Martian Hounds,Mars,COTA,R,Action,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
